player_id,distance_pixels,time_on_field_sec,avg_speed_pixels_per_sec
16,1210.721967760336,1.23,984.3268030571837
489,1170.4922635918645,3.17,369.2404617009036
1,990.059701165743,4.9,202.05300023790673
259,548.7970250098705,1.03,532.8126456406509
331,352.8499799832394,0.93,379.4085806271391
746,302.3885441350349,0.9,335.9872712611499
801,297.85396597247745,0.63,472.78407297218644
530,294.6189338650262,0.6,491.03155644171034
358,268.9126106906682,0.67,401.36210550846
264,262.35723569379695,1.17,224.23695358444186
436,257.49781821627136,1.13,227.87417541262954
2,256.79065301393376,1.07,239.9912644990035
184,250.91993385238482,0.43,583.534729889267
738,247.81080884733592,0.9,275.34534316370656
822,229.42862735508425,0.47,488.14601564911544
490,221.64252666523586,1.73,128.11706743655253
785,219.09465405606713,0.53,413.38613972842853
820,195.89617452140743,0.37,529.4491203281282
307,182.63165685051825,0.5,365.2633137010365
303,165.44517044479585,0.63,262.6113816584061
262,163.69398406275474,0.37,442.41617314258036
330,157.69497165560395,0.37,426.2026260962269
304,137.42235112019267,0.63,218.1307160637979
493,126.16312578259704,0.47,268.43218251616395
515,124.76966734449597,0.63,198.04709102300947
66,121.21365651063539,0.83,146.04055001281372
469,107.48892840546182,0.67,160.4312364260624
474,103.83502403347015,0.5,207.6700480669403
742,102.48949381423435,1.1,93.1722671038494
427,94.45933278091164,0.13,726.6102521608587
740,94.28356901890407,0.47,200.60333833809378
165,93.88635126851314,0.23,408.20152725440494
780,93.75517530567868,0.67,139.9330974711622
67,91.07570281982059,0.9,101.19522535535621
108,89.13344539178033,0.33,270.1013496720616
557,86.83957902248267,0.27,321.6280704536395
311,83.07221002625357,0.23,361.1835218532764
478,81.45490005343565,0.3,271.51633351145216
394,74.1061331651444,0.37,200.28684639228217
124,69.9395763790302,0.2,349.697881895151
191,69.03278504818215,0.23,300.14254368774846
517,68.81152942448277,0.17,404.77370249695747
267,64.5109298162288,0.27,238.92936968973626
523,61.732995042147245,0.37,166.8459325463439
127,53.09007134397846,0.5,106.18014268795692
455,51.39727954024814,0.5,102.79455908049628
350,50.84354230779051,0.27,188.30941595477964
496,50.56985644720815,0.23,219.86894107481805
168,49.24343184765557,0.13,378.7956295973505
82,49.07662970432116,0.27,181.76529520118945
494,42.672793078973214,0.6,71.12132179828869
519,41.47256536790042,0.37,112.08801450783898
418,40.430268906758926,0.13,311.00206851353016
169,40.26888897672613,0.33,122.02693629310949
273,38.604858986839055,0.27,142.980959210515
360,36.13632428520999,0.13,277.97172527084604
102,34.18109137363544,0.17,201.0652433743261
64,33.125799525593216,0.67,49.4414918292436
282,32.83174783383494,0.33,99.49014495101495
131,31.79749923665899,0.3,105.99166412219664
475,30.393738794430003,0.3,101.31246264810001
778,26.08849338299305,0.13,200.68071833071576
749,25.785189037078016,0.63,40.928871487425425
110,24.349762502069954,0.17,143.23389707099972
